imageId,imageUrl,groundTruthLabel,attributes
MCT_001,https://firebasestorage.googleapis.com/v0/b/flyreel-media-2020/o/670d4e0d14b78ced7a6dc7d5%2F6912a90645f187e4c87a1e1d%2F6367bcf8-9a72-4fba-a8f3-a9bf6d68c52c.jpg?alt=media&token=1a4d0f12-8223-4347-9645-d948283af25b,,
MCT_002,https://firebasestorage.googleapis.com/v0/b/flyreel-media-2020/o/670d4e0d14b78ced7a6dc7d5%2F69227b02dc0334f69f92ccb6%2Fae616031-9768-43b8-884e-d9e34211ff63.jpg?alt=media&token=99573f42-e703-4d55-a2b3-9f198151dbb1,,
MCT_003,https://firebasestorage.googleapis.com/v0/b/flyreel-media-2020/o/670d4e0d14b78ced7a6dc7d5%2F69227be545f187e4c8c9af57%2Fb311f56b-aef5-4b42-ba5e-475acc339a51.jpg?alt=media&token=cd671cee-de07-4fae-a3bb-ea85698489ac,,
MCT_004,https://firebasestorage.googleapis.com/v0/b/flyreel-media-2020/o/670d4e0d14b78ced7a6dc7d5%2F68fed43c6361e411482c492d%2F04508256-50e3-4f06-962d-cc48abce44a6.jpg?alt=media&token=f1bf2f48-bc87-480b-996b-596edfee4635,,
MCT_005,https://storage.googleapis.com/flyreel-media-2020/670d4e0d14b78ced7a6dc7d5/69e838f1a66e06d3cee09dc9/46183fbf-5713-4ff8-ae45-949ce9abbe4b.jpg?GoogleAccessId=firebase-adminsdk-5k7lv%40flyreel-infrastructure.iam.gserviceaccount.com&Expires=2092953600&Signature=Pg07QKrceUvtmYCTtAQMnyWiPXPs2c4o%2FeGPKagmaQEOGkIwztqNXcwZTNv7HLdtPrr1%2F8%2BQO163z2fohaJv4s2lP3RuRj%2BKVAMYRrN8rL1ifcRr%2F5ir%2FMT51IFZXE2jXWJKKnYI%2ByXTj%2B5YJHAFgcl3LeCPagwd8V9hTdmDy5B4S8BN55QH3s5alvKYcrkguKBUbmlR5EyjLdQH8m1jdPgPCsQPayVft404np9XluGiqXkQo9DcqnIAn20hBmf3%2F2m97UVaW7EB6BKS7wKNGvf8kUHHMOKQGlmzU8btHqI7Gc5pfm0Qrz67IBviJZAV2CFhE4m3aszx61%2Bo1GBEyg%3D%3D,,
MCT_006,https://storage.googleapis.com/flyreel-media-2020/670d4e0d14b78ced7a6dc7d5/69f6aca4374f144a87573f3c/7b25b66a-ac5c-452c-8624-f07cf7875f3c.jpg?GoogleAccessId=firebase-adminsdk-5k7lv%40flyreel-infrastructure.iam.gserviceaccount.com&Expires=2093558400&Signature=lQauqdJODMxGHX7ITeuGYXH%2B591Nc3MWLhdt%2FuudSgyNguy5AFfEI%2FjnIYBT3v6O5y3StWxK%2BhAiKVnghqAuWHjxrd%2BOe4swFfmtaSlEt%2BZsuYSfgRv6358U6ekiQVtZPn8nT7bQ8PU6Ff9U3gPeMHKu%2F8bFsChIbpIHqYSx5G%2BvmqoekNMeZdNRrsi20NSBAl%2Br59JmNI4Nggrpen7BxubFjEac1wgRuBTIGzzKXjgJqxxaaCUlfDks01%2FLYvWlbkyGYNYjNRU8n2176xy6Y86pBGVMrkeQmPgn6WevkQSBZI0WtLiBIj%2BxNu0uXPTKHxTJqTz5TjFoko%2F8n82evw%3D%3D,,
MCT_007,https://storage.googleapis.com/flyreel-media-2020/670d4e0d14b78ced7a6dc7d5/69f6aec2374f144a87574703/abffbbc5-8e3f-445b-beaf-af20cfa33b9a.jpg?GoogleAccessId=firebase-adminsdk-5k7lv%40flyreel-infrastructure.iam.gserviceaccount.com&Expires=2093385600&Signature=Uaf9%2FGO6oD95AfnNk%2BQGP8sXEetJecM5SB8rxNaq2hzOwB9%2Fo%2BnXRdMsH63%2BdEUR9Wdy7gBxH7vh3c8%2BAb8DTnE%2FDU1XGfPlWPCJ%2B%2BZXYl3cQzKffW7EROlQicZ09zUU29wgtzBCPbmJD57bLO12VbZjgU7bWj5AvYwgQUpmxcF%2BZ7KTzwanMO%2B7qVLdyFtV8pfCPu%2BKWgkaJpFT0Lp5Nk%2FKBv6F0Jj3zzbqhCdUNc2gVxQ4luvbnsgaYlnxPOsSbthwXb1edpYyqLJrd2fYqyjhS4%2BEoZlWn3yAiYKDzBnsUvgHn6FtcoxOGkEwDkUOXgv9i9RmyBbl3n3aXOXRoQ%3D%3D,,
MCT_008,https://storage.googleapis.com/flyreel-media-2020/670d4e0d14b78ced7a6dc7d5/69f6b01a374f144a87574a00/c26fe622-9f93-49e2-8553-ab13609a78fc.jpg?GoogleAccessId=firebase-adminsdk-5k7lv%40flyreel-infrastructure.iam.gserviceaccount.com&Expires=2093817600&Signature=m8%2F9%2Buv0%2B7SVwwwZgMlUEHX75xRR8%2FnhwD%2B3jSIcBBruHR%2F5zPzFtdvt7Vr9%2F%2BvBZJSKMgQCf8MX3OZ96dTbG%2BtItpYfVuGWvRYCVbnoEg55Nuy3UCyhrsXSk3m0YT%2BFLcMpBtq4T9wO4%2FrUp6QYEL1w1II%2BbB9u9TEzWDB0lnZQSG8jzas0nZ5gag0kDmtD3eb91H6XaK9QWCTogNuDaxmLYd32ottPJnyGyi4y2zuyR30jMhrgDqVzM%2FuClPWXhnqs1ahQN7GrGLQuoAgF%2B80huLamG9fYDrXQJRXJqHgmcDNC%2Bu3vEjgLizbFbC8nk%2FjVDQA25Sw%2FGj1LeNedwg%3D%3D,,
MCT_009,https://storage.googleapis.com/flyreel-media-2020/670d4e0d14b78ced7a6dc7d5/69faa6fd551739ab12ee8528/185d81f3-dbc9-42f8-a9e9-4acf6f8fad3e.jpg?GoogleAccessId=firebase-adminsdk-5k7lv%40flyreel-infrastructure.iam.gserviceaccount.com&Expires=2093904000&Signature=NaU7BQwrZ1RWPAK85F4qv9eyU49QDNw6m1M28u4hrtUYTjwHtDxwdNKua2RiH7nldMO6DxSLegDtH1HRFEUCZATbiZV2tjWSD%2FNm9Yu%2BhKw8U7wkwgG7smvskJ4guqTX5EUm1Qrc0czcFgZafdZl9KOrcq2gckyBGgFiKkPloxBKOq%2FWXR9%2F7B6hum4TnjNRQ6wxT6axEEPtSBvml5zpC3R9mrq%2FbUCWFratDJSP8Acyxl%2FxfamyXU9Gr%2FwXdcInhx9RmMUKzYudDn6YiwWmXhKzoDYKxaB7PcnUPSvAPrxaL5fkCamk3J9QJmPnNYVCUK1t%2FjzZM7Jdzgc%2BQU4Wqw%3D%3D,,
MCT_010,https://storage.googleapis.com/flyreel-media-2020/670d4e0d14b78ced7a6dc7d5/688588240d5fd5a14b8366ea/6893748c5d32bfb3a46ff455/352cdbde-5dde-43aa-9052-7bf94e3ba14b_blurred.jpg?Expires=2524608000&GoogleAccessId=ai-851%40flyreel-infrastructure.iam.gserviceaccount.com&Signature=ERikQWs6FUA9X9b78Xob854mcyIO59dR2hMOW8VufMyML0K6BU%2F1NpMvIhhvlOxa4ticVm2hSX5ZFHxLFnDmIQVXvEZqlTEW2I4qoWcUdOFGzEgZhXjbfYlQd5hIqTwRECHzj0tEvO76LpxTYhMbRTVgY%2B%2B6kdumdPUWtQxq4RsrAJly9Z0kcYVmvyu0kCfp2eMY14NJSUnTutPxfGbKxtr0NYR7SANZKWMwA%2BOo1uDnnUt%2F0a7nq9ZfciYqApOSl9jE8N%2F%2FKxvdo077JpeLfBW8QQpOwtILIDH93JJfT1aDxk0Cb%2FEOXjADN8gcVDbdjhd8s082BCuhF8%2Fr7sLYGw%3D%3D,,
